agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
260,random-32-32-20.map,PIBT,0,213619,100000,15984,1,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6466,1,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBT,0,612680,100000,16454,10,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6600,10,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBT,0,512109,100000,20572,100,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,100000,6410,100,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,577,42,0,0,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,0,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBT,1,566,42,0,10,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,10,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBT,1,566,42,0,100,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,100,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1000,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1000,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBT,1,1711,48,2,0,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,0,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,10,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,10,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,100,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,100,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1000,random-32-32-20-random-1.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1000,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBT,1,3446,54,3,0,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,0,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBT,0,3258,100000,3880,1,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBT,0,3263,100000,4066,10,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,10,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4424,100,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,100,random-32-32-20-random-1.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4487,1000,random-32-32-20-random-1.scen
